image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC00961.JPG,554196.671776,2234,73.7,-0.6,-1.3
DSC00962.JPG,554198.306753,2234,71.3,-0.8,1.1
DSC00963.JPG,554199.943272,2234,73.8,-1.6,2.6
DSC00964.JPG,554201.544513,2234,74.2,-2.1,1.1
DSC00965.JPG,554203.14646,2234,73.1,-2.5,0
DSC00966.JPG,554204.714907,2234,70.3,-0.7,-2.8
DSC00967.JPG,554206.281876,2234,69.6,-2,4.1
DSC00968.JPG,554207.015252,2234,72,-2.8,2
DSC00969.JPG,554208.650389,2234,71,-2.2,4
DSC00970.JPG,554210.318555,2234,72.2,-3.8,-1.8
DSC00971.JPG,554211.920311,2234,75.3,-4.7,2
DSC00972.JPG,554213.488266,2234,74.3,-3.6,-1
DSC00973.JPG,554215.056821,2234,79,-3.8,2.2
DSC00974.JPG,554216.625728,2234,77.7,-2,0.4
DSC00975.JPG,554218.193399,2234,73.1,-4.3,1.1
DSC00976.JPG,554219.761724,2234,79.5,-5.1,4.2
DSC00977.JPG,554221.296315,2234,74.9,-5.1,-1.9
DSC00978.JPG,554222.064404,2234,75.7,-5.4,1.8
DSC00979.JPG,554223.431824,2234,74.1,-4.7,2
DSC00980.JPG,554224.800057,2234,78.8,-3.6,-0.2
DSC00981.JPG,554226.202594,2234,74.9,-0.6,-2.1
DSC00982.JPG,554227.636053,2234,76.3,-0.8,2.1
DSC00983.JPG,554229.104331,2234,80,0.7,2
DSC00984.JPG,554230.639086,2234,81.3,2.4,1.7
DSC00985.JPG,554232.242059,2234,74.8,1.7,-0.9
DSC00986.JPG,554233.909169,2234,73.4,0.7,0.9
DSC00987.JPG,554235.610612,2234,72.4,1.4,-0.1
DSC00988.JPG,554236.878485,2234,73.6,1.7,3.1
DSC00989.JPG,554238.647136,2234,75.4,0.6,3.7
DSC00990.JPG,554240.382265,2234,75.9,0.2,3.8
DSC00991.JPG,554242.083966,2234,69.8,-1.8,-2.9
DSC00992.JPG,554243.752497,2234,68.5,-2.3,-1.7
DSC00993.JPG,554245.455175,2234,68,-3,5.3
